Species,Longitude,Latitude
Quercus pacifica,-119.7201,33.9755
Quercus pacifica,-120.0896,33.9773
Quercus pacifica,-120.0896,33.9773
Quercus pacifica,-120.078,33.979
Quercus pacifica,-120.078,33.979
Quercus pacifica,-120.078,33.979
Quercus pacifica,-120.078,33.979
Quercus pacifica,-120.0327,33.983
Quercus pacifica,-120.0327,33.983
Quercus pacifica,-120.0314,33.983
Quercus pacifica,-120.0327,33.983
Quercus pacifica,-120.0314,33.983
Quercus pacifica,-120.0314,33.9831
Quercus pacifica,-120.0344,33.9841
Quercus pacifica,-120.0504,33.9854
Quercus pacifica,-120.0504,33.9854
Quercus pacifica,-120.051579,33.985515
Quercus pacifica,-119.66918,33.98688
Quercus pacifica,-120.052,33.988
Quercus pacifica,-120.052,33.988
Quercus pacifica,-119.8181,33.9893
Quercus pacifica,-119.8181,33.9893
Quercus pacifica,-119.8181,33.9893
Quercus pacifica,-119.8181,33.9893
Quercus pacifica,-119.6894,33.9897
Quercus pacifica,-119.6894,33.9897
Quercus pacifica,-119.6894,33.9897
Quercus pacifica,-119.835,33.99
Quercus pacifica,-120.04879,33.990174
Quercus pacifica,-120.0636807,33.9909552
Quercus pacifica,-120.0636807,33.9909552
Quercus pacifica,-120.0636807,33.9909552
Quercus pacifica,-120.063,33.991
Quercus pacifica,-120.063,33.991
Quercus pacifica,-119.704,33.993
Quercus pacifica,-119.716,33.993
Quercus pacifica,-119.6968,33.9937
Quercus pacifica,-119.718617,33.995164
Quercus pacifica,-119.715407,33.995838
Quercus pacifica,-119.6432,33.996
Quercus pacifica,-120.1281,33.9962
Quercus pacifica,-120.184662,33.996204
Quercus pacifica,-119.7395,33.9965
Quercus pacifica,-119.6195,33.9968
Quercus pacifica,-120.122002,33.996974
Quercus pacifica,-119.726,33.99723
Quercus pacifica,-120.0611,33.9977
Quercus pacifica,-119.6033104,33.99773832
Quercus pacifica,-119.6026,33.9978
Quercus pacifica,-120.06134,33.99875
Quercus pacifica,-119.7123,34.0001
Quercus pacifica,-119.674,34.0001
Quercus pacifica,-119.714273,34.00025745
Quercus pacifica,-119.7136,34.0003
Quercus pacifica,-119.767,34.0015
Quercus pacifica,-119.767,34.0015
Quercus pacifica,-120.058,34.002
Quercus pacifica,-119.7099,34.0024
Quercus pacifica,-120.05417,34.0025
Quercus pacifica,-119.7177,34.0047
Quercus pacifica,-119.7480738,34.00535706
Quercus pacifica,-119.7201,34.0055
Quercus pacifica,-119.7544739,34.005857
Quercus pacifica,-119.7480738,34.00585705
Quercus pacifica,-119.7480738,34.00585705
Quercus pacifica,-119.74739,34.00589
Quercus pacifica,-119.74739,34.00589
Quercus pacifica,-119.769,34.0064
Quercus pacifica,-119.769,34.0064
Quercus pacifica,-119.7184181,34.00643125
Quercus pacifica,-119.6965,34.0065
Quercus pacifica,-119.6965,34.0065
Quercus pacifica,-119.6965,34.0065
Quercus pacifica,-119.7459,34.0067
Quercus pacifica,-119.678,34.007
Quercus pacifica,-119.695,34.007
Quercus pacifica,-119.698,34.0072
Quercus pacifica,-119.698,34.0072
Quercus pacifica,-119.698,34.0072
Quercus pacifica,-119.698,34.0072
Quercus pacifica,-119.698,34.0072
Quercus pacifica,-119.6964,34.0082
Quercus pacifica,-119.81015,34.0082
Quercus pacifica,-119.6987,34.0082
Quercus pacifica,-119.6987,34.0082
Quercus pacifica,-119.8112,34.0084
Quercus pacifica,-119.7808,34.0085
Quercus pacifica,-119.788,34.0095
Quercus pacifica,-119.802075,34.00995655
Quercus pacifica,-119.73,34.01
Quercus pacifica,-119.6,34.01
Quercus pacifica,-120.05694,34.01111
Quercus pacifica,-119.87685,34.01154
Quercus pacifica,-119.788,34.0116
Quercus pacifica,-120.052,34.012
Quercus pacifica,-120.052,34.012
Quercus pacifica,-120.052,34.012
Quercus pacifica,-119.8169754,34.01245637
Quercus pacifica,-119.8179,34.0126
Quercus pacifica,-119.742225,34.01266
Quercus pacifica,-119.7915,34.0127
Quercus pacifica,-119.7915,34.0127
Quercus pacifica,-119.6004,34.0128
Quercus pacifica,-119.6004,34.0128
Quercus pacifica,-119.74398,34.0134
Quercus pacifica,-119.74398,34.0134
Quercus pacifica,-119.74398,34.0134
Quercus pacifica,-119.74398,34.0134
Quercus pacifica,-119.66417,34.01437
Quercus pacifica,-119.7975,34.015
Quercus pacifica,-119.7975,34.015
Quercus pacifica,-119.606,34.015
Quercus pacifica,-119.605,34.015
Quercus pacifica,-119.7975,34.015
Quercus pacifica,-119.605,34.015
Quercus pacifica,-119.606,34.015
Quercus pacifica,-119.8016,34.0153
Quercus pacifica,-119.8016,34.0153
Quercus pacifica,-119.8016,34.0153
Quercus pacifica,-119.645462,34.015371
Quercus pacifica,-119.7148,34.0154
Quercus pacifica,-119.7184,34.0154
Quercus pacifica,-119.796675,34.01595641
Quercus pacifica,-119.796675,34.01595641
Quercus pacifica,-119.5977,34.0163
Quercus pacifica,-119.716033,34.016764
Quercus pacifica,-119.605,34.017
Quercus pacifica,-119.83892,34.01706
Quercus pacifica,-119.7190312,34.01714594
Quercus pacifica,-119.684111,34.017372
Quercus pacifica,-119.684111,34.017372
Quercus pacifica,-119.8705,34.0176
Quercus pacifica,-119.87288,34.01774
Quercus pacifica,-119.822,34.018
Quercus pacifica,-119.822,34.018
Quercus pacifica,-119.822,34.018
Quercus pacifica,-119.822,34.018
Quercus pacifica,-119.822,34.018
Quercus pacifica,-119.822,34.018
Quercus pacifica,-119.68385,34.01811
Quercus pacifica,-119.6748,34.0184
Quercus pacifica,-119.7284,34.0196
Quercus pacifica,-120.195203,34.019753
Quercus pacifica,-119.735,34.02
Quercus pacifica,-119.735,34.02
Quercus pacifica,-119.735,34.02
Quercus pacifica,-119.8379,34.0206
Quercus pacifica,-119.843275,34.020928
Quercus pacifica,-119.843275,34.020928
Quercus pacifica,-119.599,34.022
Quercus pacifica,-119.599,34.022
Quercus pacifica,-119.69071,34.02213
Quercus pacifica,-119.8719,34.0227
Quercus pacifica,-119.7851748,34.02395627
Quercus pacifica,-119.6955,34.0258
Quercus pacifica,-119.6955,34.0258
Quercus pacifica,-119.69722,34.02785
Quercus pacifica,-119.80708,34.0298
Quercus pacifica,-119.70139,34.03083
Quercus pacifica,-119.70139,34.03083
Quercus pacifica,-119.70139,34.03083
Quercus pacifica,-119.70139,34.03083
Quercus pacifica,-119.70361,34.03111
Quercus pacifica,-119.7039,34.0315
Quercus pacifica,-119.702544,34.031519
Quercus pacifica,-119.70278,34.03167
Quercus pacifica,-119.70278,34.03167
Quercus pacifica,-119.702673,34.03195663
Quercus pacifica,-119.702673,34.03195663
Quercus pacifica,-119.702673,34.03195663
Quercus pacifica,-119.702673,34.03195663
Quercus pacifica,-119.702673,34.03195663
Quercus pacifica,-119.702673,34.03195663
Quercus pacifica,-119.702,34.032
Quercus pacifica,-119.8099,34.032
Quercus pacifica,-119.702,34.032
Quercus pacifica,-119.702,34.032
Quercus pacifica,-119.702,34.032
Quercus pacifica,-119.702,34.032
Quercus pacifica,-119.703,34.032
Quercus pacifica,-119.704767,34.032483
Quercus pacifica,-119.70417,34.0325
Quercus pacifica,-119.70417,34.0325
Quercus pacifica,-119.70417,34.0325
Quercus pacifica,-119.70417,34.0325
Quercus pacifica,-119.7554742,34.03295623
Quercus pacifica,-119.5535,34.033
Quercus pacifica,-119.5535,34.033
Quercus pacifica,-119.709336,34.033142
Quercus pacifica,-119.5781,34.0339
Quercus pacifica,-119.7051,34.034
Quercus pacifica,-119.5675,34.035
Quercus pacifica,-119.5675,34.035
Quercus pacifica,-119.70797,34.03911
Quercus pacifica,-119.70797,34.03911
Quercus pacifica,-119.8509765,34.04335524
Quercus pacifica,-119.8509765,34.04335524
Quercus pacifica,-119.8509765,34.04335524
Quercus pacifica,-119.84694,34.04389
Quercus pacifica,-119.688698,34.04595
Quercus pacifica,-119.553989,34.047903
Quercus pacifica,-119.553989,34.047903
Quercus pacifica,-119.553989,34.047903
Quercus pacifica,-119.553989,34.047903
Quercus pacifica,-119.562802,34.048009
Quercus pacifica,-119.5569,34.0483
Quercus pacifica,-119.8163758,34.04945532
Quercus pacifica,-119.8172758,34.0499553
Quercus pacifica,-119.7557,34.0522
Quercus pacifica,-119.7557,34.0522
Quercus pacifica,-119.7557,34.0522
Quercus pacifica,-119.7557,34.0522
Quercus pacifica,-119.7873752,34.05335542
Quercus pacifica,-119.7882,34.0543
Quercus pacifica,-119.8967376,34.05604455
Quercus pacifica,-119.8967376,34.05604455
Quercus pacifica,-119.89606,34.05609
Quercus pacifica,-119.911,34.06
Quercus pacifica,-119.911,34.06
Quercus pacifica,-119.908614,34.069547
Quercus pacifica,-119.801186,34.109249
Quercus pacifica,-119.999334,34.115594
Quercus pacifica,-119.939781,34.116463
Quercus pacifica,-119.700694,34.119713
Quercus pacifica,-119.75163,34.126211
Quercus pacifica,-119.63637,34.134755
Quercus pacifica,-119.685216,34.149572
Quercus pacifica,-119.797273,34.157921
Quercus pacifica,-119.872947,34.171551
Quercus pacifica,-119.662367,34.172004
Quercus pacifica,-119.707473,34.179908
Quercus pacifica,-119.922771,34.186236
